Bald,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,Straight_Hair,Wavy_Hair,Smiling,Bangs,Heavy_Makeup,Wearing_Earrings,Wearing_Lipstick,Attractive,Young
000110.jpg,0,0,0,1,0,0,0,1,1,0,0,0,0,1
000111.jpg,0,0,1,0,0,0,1,1,1,0,1,1,1,1
000112.jpg,0,0,1,0,0,0,1,1,1,1,0,1,1,1
000117.jpg,0,1,0,0,0,0,1,0,0,1,1,1,0,1
000118.jpg,0,1,0,0,0,0,0,1,0,1,0,1,1,1
000121.jpg,0,0,0,0,0,1,0,1,1,1,0,1,1,1
000122.jpg,0,0,1,0,0,0,0,1,1,1,1,1,0,0
000124.jpg,0,1,0,0,0,0,1,0,0,0,1,0,0,1
000126.jpg,0,0,1,0,0,0,0,1,0,1,0,1,1,1
000128.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000131.jpg,0,1,0,0,0,0,1,1,1,1,0,1,1,1
000132.jpg,0,1,0,0,0,1,0,1,0,1,1,1,1,1
000133.jpg,0,0,1,0,0,0,0,1,0,1,1,1,1,1
000139.jpg,0,0,0,0,0,0,1,1,0,0,0,1,1,1
000140.jpg,0,0,1,0,0,0,0,0,0,1,0,1,0,1
000141.jpg,0,0,1,0,0,0,0,0,0,1,0,1,1,1
000142.jpg,0,0,0,0,0,0,1,0,0,0,0,1,0,1
000145.jpg,0,1,0,0,0,0,1,1,0,0,0,1,0,1
000146.jpg,0,0,0,0,0,1,0,1,1,1,0,1,1,1
000147.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
000148.jpg,0,1,0,0,0,1,0,0,0,1,1,1,1,1
000149.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,1
000151.jpg,0,0,0,1,0,1,0,1,0,1,0,1,1,1
000155.jpg,0,0,0,0,0,0,0,1,0,1,0,1,1,1
000156.jpg,0,0,1,0,0,0,1,1,0,1,0,1,1,0
000157.jpg,0,0,1,0,0,1,0,0,0,0,0,0,1,1
000159.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,1
000161.jpg,0,1,0,0,0,1,0,1,0,1,0,1,1,1
000162.jpg,0,1,0,0,0,0,1,0,0,1,1,1,0,1
000163.jpg,0,0,0,1,0,0,1,0,0,1,1,1,0,1
000165.jpg,0,0,0,1,0,0,1,0,0,1,0,1,1,1
000167.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
000168.jpg,0,1,0,0,0,1,0,1,0,1,1,1,1,1
000170.jpg,0,0,0,1,0,0,0,1,1,1,0,1,1,1
000172.jpg,0,0,0,1,0,0,1,1,1,1,1,1,1,1
000173.jpg,0,1,0,0,0,0,0,1,0,1,1,1,0,1
000174.jpg,0,0,0,0,0,0,0,1,0,1,1,1,1,0
000175.jpg,0,0,0,1,0,1,0,1,0,1,0,1,1,1
000176.jpg,0,0,0,0,0,0,0,1,0,1,0,1,1,0
000177.jpg,0,1,0,0,0,0,0,0,0,1,1,1,1,1
000178.jpg,0,0,1,1,0,0,1,1,1,1,0,1,1,0
000179.jpg,0,1,0,0,0,0,0,1,0,1,0,1,1,1
000180.jpg,0,0,0,1,0,0,0,1,1,1,0,1,1,1
000183.jpg,0,0,0,0,0,1,0,1,1,0,1,1,1,1
000184.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000185.jpg,0,0,0,0,0,0,1,0,1,1,1,1,1,1
000186.jpg,0,0,0,0,0,1,0,1,0,1,1,1,1,1
000189.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,1
000190.jpg,0,0,0,0,0,0,1,0,0,1,0,1,1,0
000191.jpg,0,0,1,0,0,1,0,1,1,1,0,1,1,1
000192.jpg,0,0,0,0,0,1,1,1,0,0,0,1,1,1
000198.jpg,0,0,0,1,0,0,0,0,0,1,0,1,1,1
000201.jpg,0,0,1,0,0,0,0,0,0,1,1,1,1,1
000204.jpg,0,1,0,0,0,0,0,1,0,1,0,1,1,0
000207.jpg,0,0,0,0,0,0,1,0,1,1,0,1,1,1
000208.jpg,0,0,0,1,0,1,0,1,1,0,0,1,0,1
000211.jpg,0,0,0,0,0,0,1,0,0,0,0,1,1,1
000216.jpg,0,1,0,0,0,1,0,0,0,1,0,1,1,1
000217.jpg,0,0,1,0,0,0,1,1,1,1,1,1,1,1
000218.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,0
000219.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,1
000222.jpg,0,0,0,1,0,0,0,1,0,0,0,1,1,1
000225.jpg,0,0,0,1,0,1,0,1,0,1,0,1,1,1
000228.jpg,0,0,1,0,0,1,0,1,0,0,0,1,1,1
000231.jpg,0,0,0,0,0,0,1,0,0,1,1,1,1,1
000232.jpg,0,0,0,0,0,0,1,1,0,0,1,0,1,1
000233.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,1
000236.jpg,0,0,0,0,0,0,0,0,0,1,0,0,1,1
000238.jpg,0,0,0,1,0,0,1,0,0,0,0,1,1,1
000239.jpg,0,0,1,0,0,1,0,1,1,1,1,1,1,1
000240.jpg,0,0,0,1,0,0,0,0,0,1,0,0,1,1
000241.jpg,0,0,0,1,0,0,0,1,0,0,1,0,0,0
000243.jpg,0,0,0,1,0,0,1,0,0,0,1,0,0,1
000246.jpg,0,1,0,0,0,1,0,0,1,1,0,1,1,1
000247.jpg,0,0,1,0,0,1,0,1,1,1,0,1,1,1
000249.jpg,0,0,0,0,0,0,0,1,0,1,1,1,1,1
000251.jpg,0,0,0,0,0,0,1,0,0,1,0,1,1,1
000252.jpg,0,0,0,0,1,0,1,1,0,0,1,1,0,0
000254.jpg,0,0,0,0,0,0,0,1,0,1,0,1,1,1
000256.jpg,0,1,0,0,0,1,0,1,0,1,0,1,0,1
000257.jpg,0,0,0,0,0,0,1,0,0,1,0,1,1,1
000258.jpg,0,0,0,0,0,0,1,0,0,1,0,1,1,1
000259.jpg,0,0,0,1,0,0,1,1,1,1,0,1,1,1
000260.jpg,0,1,0,0,0,0,1,0,0,0,0,1,1,1
000262.jpg,0,1,0,0,0,0,1,1,0,1,1,1,1,1
000263.jpg,0,0,0,1,0,0,1,0,0,0,0,0,1,1
000267.jpg,0,0,0,1,0,1,0,0,0,1,1,1,1,1
000268.jpg,0,0,0,1,0,0,1,0,1,0,0,1,1,0
000269.jpg,0,1,0,0,0,0,1,1,1,1,1,1,1,1
000270.jpg,0,0,0,1,0,1,0,1,0,1,0,1,1,1
000271.jpg,0,0,1,0,0,0,1,1,1,0,0,1,0,0
000273.jpg,0,0,0,0,0,0,1,1,0,1,0,1,1,0
000275.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,1
000278.jpg,0,0,1,0,0,0,1,1,0,1,0,1,1,1
000279.jpg,0,0,0,1,0,0,1,0,0,1,1,1,1,1
000280.jpg,0,0,0,0,0,1,0,1,0,1,1,1,1,0
000281.jpg,0,0,0,1,0,0,1,0,0,0,0,1,0,0
000285.jpg,0,1,0,0,0,1,0,0,0,1,0,1,1,1
000287.jpg,0,0,1,0,0,0,1,0,0,1,0,1,1,1
000288.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,1
000289.jpg,0,1,0,0,0,1,0,0,0,0,0,0,1,1
000290.jpg,0,0,0,0,0,0,1,0,0,1,0,1,1,1
000291.jpg,0,0,1,0,0,0,1,0,1,1,1,1,0,0
000292.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,1
000296.jpg,0,0,0,1,0,0,1,1,0,1,1,1,1,1
000301.jpg,0,0,0,1,0,0,0,1,0,1,1,1,1,0
000302.jpg,0,0,1,0,0,0,0,1,0,1,1,1,1,1
000303.jpg,0,1,0,0,0,0,1,0,0,1,1,1,0,1
000304.jpg,0,0,0,0,0,0,1,0,0,0,0,1,0,1
000305.jpg,0,0,0,1,0,0,1,0,0,0,1,0,1,1
000308.jpg,0,0,0,0,0,0,1,0,1,1,0,1,0,1
000309.jpg,0,0,0,1,0,0,1,1,0,0,0,0,0,1
000312.jpg,0,0,0,1,0,0,1,1,0,0,0,0,0,1
000315.jpg,0,1,0,0,0,1,0,0,0,1,0,0,1,1
000317.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,1
000319.jpg,0,0,0,0,0,1,0,0,0,1,0,1,1,1
000322.jpg,0,0,1,0,0,0,0,1,0,1,1,1,1,1
000323.jpg,0,0,0,0,0,0,1,0,0,1,0,1,1,1
000325.jpg,0,0,1,0,0,0,1,1,0,1,0,1,1,1
000326.jpg,0,0,1,0,0,0,1,0,0,1,0,1,1,1
000327.jpg,0,1,0,0,0,0,1,1,1,1,0,1,0,1
000328.jpg,0,0,0,1,0,0,1,1,0,1,1,1,1,1
000332.jpg,0,1,0,0,0,0,1,0,0,1,1,1,0,1
000334.jpg,0,0,1,0,0,0,1,1,0,1,0,1,0,1
000337.jpg,0,0,0,1,0,1,0,0,0,1,0,1,1,1
000338.jpg,0,0,1,0,0,0,1,0,0,0,0,0,0,0
000341.jpg,0,0,1,0,0,0,0,1,1,1,1,1,1,1
000342.jpg,0,1,0,0,0,1,0,0,0,1,0,1,1,1
000343.jpg,0,0,1,0,0,1,0,0,1,1,0,1,0,1
000344.jpg,0,0,0,0,0,0,1,0,0,1,1,1,1,0
000345.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,1
000347.jpg,0,0,1,0,0,1,0,0,1,1,0,1,0,1
000348.jpg,0,0,1,0,0,0,1,0,0,1,1,1,1,1
000349.jpg,0,1,0,0,0,0,1,1,0,1,0,1,0,1
000351.jpg,0,0,1,0,0,0,0,0,0,0,1,0,0,1
000353.jpg,0,0,0,1,0,0,1,1,0,1,0,1,1,1
000354.jpg,0,1,0,0,0,0,1,1,0,1,1,1,1,1
000356.jpg,0,1,0,0,0,0,0,0,0,1,1,1,1,1
000357.jpg,0,0,1,0,0,0,1,1,0,1,1,1,0,0
000359.jpg,0,0,0,1,0,1,0,1,0,1,0,1,1,0
000361.jpg,0,0,0,0,0,0,0,0,1,1,0,1,1,1
000364.jpg,0,0,0,0,0,0,0,1,0,0,1,0,1,1
000365.jpg,0,0,1,0,0,1,0,1,1,0,0,0,1,1
000369.jpg,0,1,0,0,0,0,1,1,0,0,0,0,0,1
000371.jpg,0,0,1,0,0,0,0,0,0,0,0,0,1,1
000372.jpg,0,0,0,0,0,0,1,1,0,1,1,1,1,1
000373.jpg,0,0,0,1,0,1,0,0,0,0,0,0,1,1
000374.jpg,0,1,0,0,0,0,1,0,1,1,0,1,0,1
000375.jpg,0,0,0,0,0,0,1,1,1,0,1,0,0,0
000379.jpg,0,0,0,0,0,1,0,0,1,0,0,1,0,1
000381.jpg,0,0,0,0,0,0,0,1,0,1,1,1,0,0
000382.jpg,0,0,1,0,0,0,1,1,0,1,0,1,1,1
000384.jpg,0,0,0,1,0,0,0,1,0,1,1,1,1,1
000387.jpg,0,0,0,1,0,1,1,1,0,0,0,1,1,1
000388.jpg,0,0,0,1,0,0,1,1,0,1,1,1,1,1
000391.jpg,0,0,0,1,0,0,1,1,0,1,1,1,1,1
000392.jpg,0,1,0,0,0,0,0,0,0,0,0,1,1,1
000394.jpg,0,1,0,0,0,0,0,1,1,1,1,1,1,1
000395.jpg,0,0,0,0,0,0,0,0,0,1,0,0,1,1
000396.jpg,0,0,0,1,0,0,1,1,0,0,0,1,1,0
000397.jpg,0,0,0,0,0,0,1,0,0,1,0,1,0,1
000399.jpg,0,0,1,0,0,0,1,0,1,1,0,1,1,1
000404.jpg,0,0,0,1,0,0,1,1,0,1,0,1,1,1
000407.jpg,0,0,0,1,0,0,1,1,0,1,0,1,1,1
000410.jpg,0,0,0,0,0,0,0,1,1,0,1,0,0,0
000411.jpg,0,0,0,0,0,0,1,1,0,1,0,1,1,1
000412.jpg,0,0,0,1,0,1,0,1,1,0,0,1,1,1
000415.jpg,0,0,0,1,0,1,0,0,0,1,0,1,1,1
000419.jpg,0,0,0,0,0,0,0,1,1,1,1,1,1,0
000420.jpg,0,0,1,0,0,0,1,1,1,1,1,1,0,0
000421.jpg,0,0,1,0,0,0,1,0,0,1,1,1,1,1
000422.jpg,0,1,0,0,0,0,0,1,1,1,0,1,1,1
000423.jpg,0,0,0,0,0,0,0,0,0,0,1,1,1,1
000424.jpg,0,0,0,0,0,0,0,1,1,1,1,1,1,0
000426.jpg,0,0,0,0,0,0,1,1,0,1,0,1,1,1
000431.jpg,0,0,1,0,0,0,0,1,0,0,0,1,1,0
000432.jpg,0,0,1,0,0,0,1,0,0,1,0,1,1,1
000435.jpg,0,1,0,0,0,0,0,1,0,1,1,1,1,1
000436.jpg,0,0,0,1,0,0,1,1,1,1,0,1,1,0
000441.jpg,0,0,0,0,0,0,1,1,0,0,0,1,0,0
000442.jpg,0,0,1,0,0,0,0,0,0,0,0,0,1,1
000445.jpg,0,0,0,1,0,0,1,0,0,0,0,1,1,1
000446.jpg,0,0,0,0,0,1,0,1,0,1,1,1,1,1
000451.jpg,0,0,0,1,0,0,0,0,0,1,1,1,1,1
000454.jpg,0,0,1,0,0,0,0,1,0,1,1,0,1,1
000455.jpg,0,1,0,0,0,0,1,1,0,1,0,1,1,1
000457.jpg,0,0,0,0,0,0,1,1,1,1,0,1,0,1
000458.jpg,0,0,0,0,0,0,0,1,1,0,0,0,0,0
000462.jpg,0,0,0,0,0,0,1,1,0,1,1,1,1,0
000463.jpg,0,0,0,0,0,0,1,0,0,1,0,1,1,1
000464.jpg,0,0,0,0,0,0,0,0,0,1,1,1,1,1
000466.jpg,0,0,0,1,0,1,0,0,1,1,1,1,1,1
000467.jpg,0,0,0,0,0,0,1,1,0,1,1,1,1,1
000468.jpg,0,0,1,0,0,0,1,0,0,1,0,1,1,1
000469.jpg,0,0,0,1,0,0,1,0,0,0,0,1,1,1
000470.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0
000471.jpg,0,0,1,0,0,1,0,1,0,1,0,1,1,1
000472.jpg,0,0,0,1,0,0,1,1,0,1,0,1,1,1
000475.jpg,0,0,1,0,0,0,0,1,0,1,0,1,1,1
000476.jpg,0,0,1,0,0,0,1,1,0,1,0,1,1,1
000478.jpg,0,0,1,0,0,0,1,0,0,0,0,1,1,1
000480.jpg,0,0,0,1,0,1,0,0,0,1,0,1,1,1
000483.jpg,0,0,1,0,0,1,0,1,0,1,0,1,0,1
000484.jpg,0,1,0,0,0,0,0,1,1,0,0,0,0,1
000485.jpg,0,0,1,0,0,0,1,1,0,1,0,1,1,1
000487.jpg,0,0,0,1,0,0,1,1,1,1,1,1,1,1
000488.jpg,0,0,0,0,0,0,0,0,0,1,0,1,1,1
000489.jpg,0,1,0,0,0,0,0,1,0,1,0,1,1,0
000491.jpg,0,0,0,0,0,0,1,0,1,1,0,1,0,1
000492.jpg,0,0,1,0,0,0,1,1,0,1,1,1,1,1
000493.jpg,0,0,0,0,0,1,0,1,0,0,0,1,1,1
000494.jpg,0,0,0,0,0,1,0,0,0,1,1,1,1,1
000495.jpg,0,0,0,1,0,0,0,1,0,1,0,1,1,1
000496.jpg,0,0,0,0,0,0,0,1,0,1,0,1,1,1
000497.jpg,0,0,1,0,0,0,1,1,0,1,0,1,1,1
000499.jpg,0,0,1,0,0,1,0,0,0,1,0,1,0,1
000502.jpg,0,1,0,0,0,0,0,0,0,1,0,1,1,1
000503.jpg,0,0,1,0,0,1,0,0,0,1,0,1,1,1
000504.jpg,0,0,0,1,0,1,0,1,0,1,0,1,1,1
000505.jpg,0,1,0,0,0,0,0,1,0,0,1,0,0,1
000506.jpg,0,0,0,1,0,1,0,1,0,1,0,1,1,1
000507.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,1
000508.jpg,0,1,0,0,0,0,1,1,0,1,1,1,1,0
000509.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,1
000510.jpg,0,0,1,0,0,0,1,1,0,1,1,1,1,1
000513.jpg,0,0,1,0,0,1,0,1,1,1,1,1,0,0
000514.jpg,0,0,0,1,0,0,0,1,0,1,1,1,1,1
000516.jpg,0,0,1,0,0,1,0,0,0,0,0,1,1,1
000517.jpg,0,0,0,0,0,1,0,1,0,0,0,0,0,1
000519.jpg,0,0,0,1,0,0,0,1,0,1,1,1,1,0
000522.jpg,0,1,0,0,0,1,0,1,1,1,1,1,0,1
000523.jpg,0,0,1,0,0,1,0,1,0,1,1,1,1,1
000524.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,1
000525.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0
000527.jpg,0,0,0,1,0,0,1,0,0,0,0,1,1,1
000528.jpg,0,0,1,0,0,0,1,1,0,1,1,1,1,0
000530.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1
000531.jpg,0,1,0,0,0,0,1,1,0,1,1,1,0,1
000532.jpg,0,0,0,1,0,0,0,0,0,0,1,0,1,1
000533.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1
000538.jpg,0,0,0,0,0,0,0,1,0,0,0,1,0,1
000539.jpg,0,1,0,0,0,1,0,0,0,1,1,1,1,1
000540.jpg,0,1,0,0,0,0,0,1,0,1,1,1,1,1
000541.jpg,0,0,0,1,0,0,1,0,0,1,0,0,0,1
000544.jpg,0,0,0,1,0,0,1,0,0,1,0,1,1,1
000547.jpg,0,0,0,0,0,0,0,0,0,1,0,1,0,1
000548.jpg,0,1,0,0,0,1,0,0,0,1,1,1,1,1
000549.jpg,0,0,0,1,0,0,1,0,0,1,0,1,1,1
000550.jpg,0,0,0,0,0,0,1,0,0,1,1,1,1,1
000551.jpg,0,0,0,0,0,0,0,1,1,1,1,1,1,1
000553.jpg,0,0,0,1,0,0,1,1,0,1,1,1,1,1
000554.jpg,0,1,0,0,0,0,1,1,0,0,0,0,0,1
000556.jpg,0,0,0,0,0,0,1,1,0,1,0,1,1,1
000557.jpg,0,0,0,1,0,0,0,0,0,0,0,0,1,1
000562.jpg,0,0,1,0,1,0,0,0,0,1,0,1,0,1
000565.jpg,0,0,0,1,0,1,0,1,0,1,1,1,1,1
000566.jpg,0,0,0,0,0,0,0,1,0,1,1,1,1,1
000567.jpg,0,0,1,0,0,0,1,1,0,1,0,1,0,1
000568.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,1
000570.jpg,0,1,0,0,0,1,0,0,0,0,0,1,1,1
000574.jpg,0,0,0,0,0,0,0,1,1,1,1,1,1,1
000576.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1
000579.jpg,0,0,1,0,0,0,1,1,0,1,0,1,0,0
000580.jpg,0,0,0,0,0,0,0,0,0,1,0,0,1,1
000582.jpg,0,0,1,0,0,0,1,1,1,1,0,1,1,1
000588.jpg,0,0,1,0,0,0,1,1,0,1,1,1,1,1
000589.jpg,0,1,0,0,0,0,1,1,0,1,1,1,1,1
000594.jpg,0,1,0,1,0,0,0,0,0,1,0,1,1,1
000595.jpg,0,1,0,0,0,0,0,1,0,1,1,1,1,1
000597.jpg,0,0,0,1,0,0,1,0,0,1,0,1,1,1
000598.jpg,0,0,0,1,0,0,1,0,0,1,0,1,1,1
000599.jpg,0,0,1,0,0,0,1,1,0,1,0,1,1,1
000600.jpg,0,1,0,0,0,0,0,0,0,0,0,0,1,1
000601.jpg,0,0,0,0,0,0,0,0,1,0,0,1,0,1
000602.jpg,0,0,1,0,0,0,1,1,0,0,0,0,0,0
000605.jpg,0,0,1,0,0,0,1,1,0,1,0,1,1,0
000606.jpg,0,0,0,0,0,0,0,0,0,0,1,1,1,1
000607.jpg,0,0,0,1,0,0,0,0,0,1,0,1,1,1
000609.jpg,0,0,0,1,0,0,1,0,0,1,0,1,1,1
000610.jpg,0,1,0,0,0,0,1,1,1,1,0,1,1,1
000611.jpg,0,0,0,1,0,0,1,0,1,1,0,1,1,1
000612.jpg,0,1,0,0,0,0,0,0,0,1,0,1,1,1
000613.jpg,0,0,0,1,0,0,1,1,0,1,0,1,1,1
000614.jpg,0,0,0,0,0,1,0,0,0,0,1,1,1,1
000615.jpg,0,0,1,0,0,0,1,0,0,0,1,1,1,1
000616.jpg,0,1,0,0,0,0,1,1,0,1,1,1,1,1
000618.jpg,0,0,0,0,0,0,0,1,0,1,1,1,1,1
000621.jpg,0,0,0,0,0,0,1,1,0,0,0,1,0,1
000626.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,1
000627.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,1
000631.jpg,0,1,0,0,0,1,0,1,0,1,1,1,1,1
000632.jpg,0,0,0,0,0,0,1,1,0,1,0,1,1,1
000633.jpg,0,1,0,0,0,1,0,1,0,1,1,1,0,0
000634.jpg,0,0,1,0,0,1,0,1,0,1,0,1,1,1
000635.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,1
000638.jpg,0,1,0,0,0,1,0,1,0,1,1,1,1,1
000640.jpg,0,1,0,0,0,0,1,1,0,0,0,1,1,1
000641.jpg,0,0,0,0,0,0,0,1,0,1,1,1,1,0
000642.jpg,0,0,1,0,0,0,0,1,0,1,1,1,0,0
000643.jpg,0,0,0,1,0,0,0,1,0,0,0,1,1,1
000644.jpg,0,0,1,0,0,0,0,0,1,1,0,1,0,1
000645.jpg,0,1,0,0,0,0,1,1,1,1,0,1,1,1
000646.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,1
000647.jpg,0,1,0,0,0,0,0,1,0,1,1,1,1,1
000648.jpg,0,0,0,0,0,0,0,1,0,0,0,0,1,1
000650.jpg,0,0,0,1,0,1,0,1,0,1,0,1,1,1
000653.jpg,0,0,0,0,0,1,0,0,1,0,0,0,1,1
000656.jpg,0,0,1,0,0,0,1,0,0,0,0,1,1,1
000658.jpg,0,0,1,0,0,0,0,0,0,1,0,1,1,1
000663.jpg,0,1,0,0,0,1,0,1,0,1,1,1,1,1
000664.jpg,0,0,0,1,0,0,1,0,0,1,0,1,1,1
000665.jpg,0,0,0,0,0,0,0,0,0,1,1,1,0,1
000666.jpg,0,0,1,0,0,1,0,1,1,0,0,1,0,1
000667.jpg,0,0,1,0,0,0,1,1,1,1,0,1,1,1
000668.jpg,0,1,0,0,0,0,0,1,0,1,1,1,1,1
000669.jpg,0,1,0,0,0,0,0,0,0,0,0,1,1,1
000673.jpg,0,0,0,0,0,0,0,0,1,0,1,0,0,1
000676.jpg,0,0,0,0,0,0,1,1,1,0,0,1,0,0
000678.jpg,0,0,0,0,0,0,1,1,0,1,0,1,1,1
000679.jpg,0,1,0,0,0,0,0,0,0,1,0,1,1,1
000680.jpg,0,0,1,0,0,0,0,0,0,0,0,0,1,1
000691.jpg,0,0,1,1,0,1,0,0,1,0,1,0,0,1
000692.jpg,0,0,1,0,0,0,1,0,0,1,0,1,1,1
000693.jpg,0,0,1,0,0,0,1,1,0,1,0,1,1,1
000694.jpg,0,0,0,0,0,0,0,1,0,1,0,1,1,1
000698.jpg,0,0,0,0,0,0,1,1,0,1,0,1,1,1
000699.jpg,0,0,1,0,0,1,0,1,0,1,0,1,1,1
000701.jpg,0,0,0,0,0,0,1,1,0,1,1,1,1,1
000702.jpg,0,0,1,0,0,0,0,1,0,1,1,1,1,1
000703.jpg,0,0,0,0,0,1,0,1,0,1,1,1,1,1
000704.jpg,0,0,0,0,0,0,1,1,0,0,0,1,0,0
