rating,title,release_date,genres,age,gender,occupation
3,Angels and Insects (1995),1995-01-01,"Drama,Romance",31,Male,engineer
1,Scream (1996),1996-12-20,"Horror,Thriller",42,Female,homemaker
4,"Nightmare on Elm Street, A (1984)",1984-01-01,Horror,27,Male,writer
3,Ben-Hur (1959),1959-01-01,"Action,Adventure,Drama",47,Male,educator
4,"City of Lost Children, The (1995)",1995-01-01,"Adventure,Sci-Fi",19,Male,student
5,"Brothers McMullen, The (1995)",1995-01-01,Comedy,46,Male,doctor
1,Young Guns (1988),1988-01-01,"Action,Comedy,Western",37,Male,other
5,To Kill a Mockingbird (1962),1962-01-01,Drama,50,Male,healthcare
5,Fly Away Home (1996),1996-09-13,"Adventure,Children",16,Male,none
4,Sabrina (1995),1995-01-01,"Comedy,Romance",19,Female,student
4,Wings of Desire (1987),1987-01-01,"Comedy,Drama,Romance",32,Male,artist
3,Mr. Holland's Opus (1995),1996-01-29,Drama,33,Male,educator
1,House Arrest (1996),1996-08-02,Comedy,32,Male,entertainment
3,Old Yeller (1957),1957-01-01,"Children,Drama",19,Male,student
4,Jean de Florette (1986),1986-01-01,Drama,38,Male,administrator
2,Seven Years in Tibet (1997),1997-01-01,"Drama,War",26,Female,student
4,Grosse Pointe Blank (1997),1997-04-11,"Comedy,Crime",26,Male,other
3,That Darn Cat! (1965),1965-01-01,"Children,Comedy,Mystery",44,Male,educator
3,Copycat (1995),1995-01-01,"Crime,Drama,Thriller",24,Male,writer
5,Star Trek III: The Search for Spock (1984),1984-01-01,"Action,Adventure,Sci-Fi",33,Male,none
5,Jerry Maguire (1996),1996-12-13,"Drama,Romance",51,Female,administrator
3,Star Trek III: The Search for Spock (1984),1984-01-01,"Action,Adventure,Sci-Fi",29,Male,doctor
5,North by Northwest (1959),1959-01-01,"Comedy,Thriller",51,Female,administrator
3,Outbreak (1995),1995-01-01,"Action,Drama,Thriller",21,Male,student
5,Die Hard (1988),1988-01-01,"Action,Thriller",19,Male,student
4,Dangerous Minds (1995),1995-01-01,Drama,29,Male,programmer
5,Miller's Crossing (1990),1990-01-01,Drama,23,Male,engineer
3,Batman (1989),1989-01-01,"Action,Adventure,Crime,Drama",30,Male,administrator
4,"Truth About Cats & Dogs, The (1996)",1996-04-26,"Comedy,Romance",39,Female,other
4,"Sword in the Stone, The (1963)",1963-01-01,"Animation,Children",31,Male,administrator
4,Bean (1997),1997-01-01,Comedy,36,Male,administrator
4,"Birdcage, The (1996)",1996-03-08,Comedy,25,Male,artist
4,Con Air (1997),1997-06-06,"Action,Adventure,Thriller",47,Male,administrator
5,Monty Python's Life of Brian (1979),1979-01-01,Comedy,33,Male,programmer
2,Sense and Sensibility (1995),1995-01-01,"Drama,Romance",31,Male,entertainment
5,Backbeat (1993),1993-01-01,"Drama,Musical",32,Male,programmer
4,"African Queen, The (1951)",1951-01-01,"Action,Adventure,Romance,War",27,Female,administrator
3,"Adventures of Priscilla, Queen of the Desert, The (1994)",1994-01-01,"Comedy,Drama",27,Female,administrator
4,This Is Spinal Tap (1984),1984-01-01,"Comedy,Drama,Musical",32,Male,writer
4,Taxi Driver (1976),1996-02-16,"Drama,Thriller",23,Male,student
3,Liar Liar (1997),1997-03-21,Comedy,28,Female,student
5,"Adventures of Priscilla, Queen of the Desert, The (1994)",1994-01-01,"Comedy,Drama",60,Male,educator
4,Young Frankenstein (1974),1974-01-01,"Comedy,Horror",27,Male,student
3,Executive Decision (1996),1996-03-09,"Action,Thriller",24,Male,writer
4,Die Hard (1988),1988-01-01,"Action,Thriller",22,Male,engineer
5,Conspiracy Theory (1997),1997-08-08,"Action,Mystery,Romance,Thriller",47,Male,educator
4,It's a Wonderful Life (1946),1946-01-01,Drama,29,Male,executive
5,"Wizard of Oz, The (1939)",1939-01-01,"Adventure,Children,Drama,Musical",51,Male,engineer
5,Raiders of the Lost Ark (1981),1981-01-01,"Action,Adventure",27,Male,programmer
4,Twister (1996),1996-05-10,"Action,Adventure,Thriller",26,Male,executive
3,"African Queen, The (1951)",1951-01-01,"Action,Adventure,Romance,War",21,Female,student
5,Terminator 2: Judgment Day (1991),1991-01-01,"Action,Sci-Fi,Thriller",30,Male,administrator
5,Willy Wonka and the Chocolate Factory (1971),1971-01-01,"Adventure,Children,Comedy",48,Male,other
4,"Devil's Advocate, The (1997)",1997-01-01,"Crime,Horror,Mystery,Thriller",19,Male,student
4,Die Hard (1988),1988-01-01,"Action,Thriller",27,Male,programmer
4,"Quiet Man, The (1952)",1952-01-01,"Comedy,Romance",60,Male,educator
4,Jackie Brown (1997),1997-01-01,"Crime,Drama",51,Male,engineer
3,Muppet Treasure Island (1996),1996-02-16,"Action,Adventure,Comedy,Musical,Thriller",27,Female,administrator
3,Bogus (1996),1996-09-06,"Children,Drama,Fantasy",33,Male,programmer
4,Annie Hall (1977),1977-01-01,"Comedy,Romance",49,Male,administrator
4,Swimming with Sharks (1995),1995-01-01,"Comedy,Drama",26,Male,student
3,My Fair Lady (1964),1964-01-01,"Musical,Romance",24,Female,marketing
4,In the Name of the Father (1993),1993-01-01,Drama,44,Male,executive
5,"Terminator, The (1984)",1984-01-01,"Action,Sci-Fi,Thriller",26,Male,technician
5,"Shining, The (1980)",1980-01-01,Horror,36,Female,writer
2,True Lies (1994),1994-01-01,"Action,Adventure,Comedy,Romance",38,Male,administrator
5,"Terminator, The (1984)",1984-01-01,"Action,Sci-Fi,Thriller",48,Female,administrator
5,Amistad (1997),1997-12-18,Drama,29,Male,programmer
3,Mimic (1997),1997-08-22,"Sci-Fi,Thriller",29,Male,executive
3,"Hunt for Red October, The (1990)",1990-01-01,"Action,Thriller",33,Male,engineer
3,"Devil's Own, The (1997)",1997-03-26,"Action,Drama,Thriller,War",31,Female,educator
3,2001: A Space Odyssey (1968),1968-01-01,"Drama,Mystery,Sci-Fi,Thriller",50,Male,programmer
4,My Family (1995),1995-01-01,Drama,19,Female,student
3,Courage Under Fire (1996),1996-03-08,"Drama,War",24,Male,writer
3,Pump Up the Volume (1990),1990-01-01,Drama,22,Male,engineer
3,Homeward Bound: The Incredible Journey (1993),1993-01-01,"Adventure,Children",29,Male,executive
5,Taxi Driver (1976),1996-02-16,"Drama,Thriller",49,Male,educator
5,Tales From the Crypt Presents: Demon Knight (1995),1995-01-01,Horror,27,Male,student
4,One Fine Day (1996),1996-11-30,"Drama,Romance",28,Male,technician
4,Vertigo (1958),1958-01-01,"Mystery,Thriller",57,Male,administrator
1,Bio-Dome (1996),1996-01-01,Comedy,30,Female,administrator
4,Sabrina (1995),1995-01-01,"Comedy,Romance",47,Male,administrator
2,Blue Sky (1994),1994-01-01,"Drama,Romance",38,Male,administrator
2,Get on the Bus (1996),1996-10-16,Drama,50,Male,programmer
2,Ninotchka (1939),1939-01-01,"Comedy,Romance",47,Male,educator
4,Good Will Hunting (1997),1997-01-01,Drama,47,Male,educator
2,Father of the Bride Part II (1995),1995-01-01,Comedy,28,Male,technician
5,To Kill a Mockingbird (1962),1962-01-01,Drama,23,Male,programmer
2,Roommates (1995),1995-01-01,"Comedy,Drama",31,Male,administrator
2,"Postino, Il (1994)",1994-01-01,"Drama,Romance",29,Female,librarian
4,Before Sunrise (1995),1995-01-01,"Drama,Romance",29,Male,doctor
3,Mary Poppins (1964),1964-01-01,"Children,Comedy,Musical",16,Male,none
3,Mission: Impossible (1996),1996-05-22,"Action,Adventure,Mystery",32,Male,executive
4,Bonnie and Clyde (1967),1967-01-01,"Crime,Drama",31,Female,librarian
3,"Truth About Cats & Dogs, The (1996)",1996-04-26,"Comedy,Romance",29,Male,doctor
4,Red Rock West (1992),1992-01-01,Thriller,38,Male,administrator
4,2001: A Space Odyssey (1968),1968-01-01,"Drama,Mystery,Sci-Fi,Thriller",27,Male,programmer
3,Chasing Amy (1997),1997-01-01,"Drama,Romance",20,Male,student
4,Sabrina (1954),1954-01-01,"Comedy,Romance",53,Male,lawyer
4,"Rock, The (1996)",1996-06-07,"Action,Adventure,Thriller",21,Male,student
3,To Kill a Mockingbird (1962),1962-01-01,Drama,51,Male,educator
4,"City of Lost Children, The (1995)",1995-01-01,"Adventure,Sci-Fi",19,Male,student
5,Heat (1995),1995-01-01,"Action,Crime,Thriller",33,Male,executive
3,Annie Hall (1977),1977-01-01,"Comedy,Romance",54,Male,librarian
5,"Silence of the Lambs, The (1991)",1991-01-01,"Drama,Thriller",60,Male,educator
2,Interview with the Vampire (1994),1994-01-01,"Drama,Horror",23,Female,student
3,It Could Happen to You (1994),1994-01-01,"Drama,Romance",30,Male,administrator
2,Dante's Peak (1997),1997-02-07,"Action,Thriller",32,Female,other
4,"Rock, The (1996)",1996-06-07,"Action,Adventure,Thriller",19,Male,student
4,"Good, The Bad and The Ugly, The (1966)",1966-01-01,"Action,Western",55,Male,marketing
4,Get Shorty (1995),1995-01-01,"Action,Comedy,Drama",40,Male,librarian
4,Batman Returns (1992),1992-01-01,"Action,Adventure,Comedy,Crime",24,Male,engineer
3,GoldenEye (1995),1995-01-01,"Action,Adventure,Thriller",33,Female,other
2,"Rock, The (1996)",1996-06-07,"Action,Adventure,Thriller",23,Male,programmer
4,Liar Liar (1997),1997-03-21,Comedy,26,Male,technician
4,Big Night (1996),1996-09-20,Drama,29,Female,librarian
1,Kazaam (1996),1996-07-17,"Children,Comedy,Fantasy",33,Male,programmer
5,Red Rock West (1992),1992-01-01,Thriller,34,Female,administrator
4,"Abyss, The (1989)",1989-01-01,"Action,Adventure,Sci-Fi,Thriller",44,Male,educator
3,"River Wild, The (1994)",1994-01-01,"Action,Thriller",44,Male,executive
1,Ghost in the Shell (Kokaku kidotai) (1995),1996-04-12,"Animation,Sci-Fi",33,Male,programmer
4,Face/Off (1997),1997-06-27,"Action,Sci-Fi,Thriller",23,Male,student
3,"Birds, The (1963)",1963-01-01,Horror,35,Female,other
2,Cool Runnings (1993),1993-01-01,Comedy,24,Male,engineer
4,"Fugitive, The (1993)",1993-01-01,"Action,Thriller",20,Male,student
4,"Silence of the Lambs, The (1991)",1991-01-01,"Drama,Thriller",47,Male,educator
3,Contact (1997),1997-07-11,"Drama,Sci-Fi",49,Male,engineer
4,Jackie Chan's First Strike (1996),1997-01-10,Action,57,Male,administrator
4,Jumanji (1995),1995-01-01,"Action,Adventure,Children,Fantasy,Sci-Fi",29,Male,programmer
5,Cape Fear (1962),1962-01-01,"Film-Noir,Thriller",40,Male,programmer
4,Conspiracy Theory (1997),1997-08-08,"Action,Mystery,Romance,Thriller",32,Male,programmer
5,"Empire Strikes Back, The (1980)",1980-01-01,"Action,Adventure,Drama,Romance,Sci-Fi,War",33,Male,executive
3,Murder at 1600 (1997),1997-04-18,"Mystery,Thriller",21,Male,student
3,Assassins (1995),1995-01-01,Thriller,26,Male,student
4,Tales From the Crypt Presents: Demon Knight (1995),1995-01-01,Horror,20,Male,none
4,Conspiracy Theory (1997),1997-08-08,"Action,Mystery,Romance,Thriller",28,Female,other
3,Canadian Bacon (1994),1994-01-01,"Comedy,War",27,Male,programmer
3,Clockers (1995),1995-01-01,Drama,24,Male,writer
2,Chain Reaction (1996),1996-07-31,"Action,Adventure,Thriller",49,Male,engineer
4,When Harry Met Sally... (1989),1989-01-01,"Comedy,Romance",20,Male,none
3,Joe's Apartment (1996),1996-07-26,"Comedy,Musical",32,Male,entertainment
4,Jaws 2 (1978),1978-01-01,"Action,Horror",35,Female,none
4,Three Colors: White (1994),1994-01-01,Drama,24,Male,technician
4,Hoop Dreams (1994),1994-01-01,Documentary,48,Female,administrator
3,Jumanji (1995),1995-01-01,"Action,Adventure,Children,Fantasy,Sci-Fi",25,Male,librarian
4,Wonderland (1997),1997-01-01,Documentary,47,Male,educator
2,Mission: Impossible (1996),1996-05-22,"Action,Adventure,Mystery",49,Female,educator
3,"Firm, The (1993)",1993-01-01,"Drama,Thriller",32,Male,entertainment
2,"First Wives Club, The (1996)",1996-09-14,Comedy,39,Male,marketing
5,Raiders of the Lost Ark (1981),1981-01-01,"Action,Adventure",35,Female,programmer
5,Casablanca (1942),1942-01-01,"Drama,Romance,War",45,Male,scientist
2,"Saint, The (1997)",1997-03-14,"Action,Romance,Thriller",28,Male,doctor
3,"Brothers McMullen, The (1995)",1995-01-01,Comedy,31,Female,educator
4,"Mirror Has Two Faces, The (1996)",1996-11-15,"Comedy,Romance",26,Male,executive
4,My Best Friend's Wedding (1997),1997-06-20,"Comedy,Romance",21,Male,student
4,Courage Under Fire (1996),1996-03-08,"Drama,War",23,Male,programmer
3,Up Close and Personal (1996),1996-03-01,"Drama,Romance",18,Female,student
5,Groundhog Day (1993),1993-01-01,"Comedy,Romance",50,Male,lawyer
5,"Close Shave, A (1995)",1996-04-28,"Animation,Comedy,Thriller",33,Male,engineer
2,Mars Attacks! (1996),1996-12-13,"Action,Comedy,Sci-Fi,War",30,Male,lawyer
5,Star Trek: The Wrath of Khan (1982),1982-01-01,"Action,Adventure,Sci-Fi",43,Male,artist
4,Flirting With Disaster (1996),1996-03-22,Comedy,27,Male,programmer
4,Jaws (1975),1975-01-01,"Action,Horror",40,Male,other
4,Wag the Dog (1997),1998-01-09,"Comedy,Drama",60,Male,educator
5,12 Angry Men (1957),1957-01-01,Drama,33,Male,scientist
3,Return of the Jedi (1983),1997-03-14,"Action,Adventure,Romance,Sci-Fi,War",38,Male,administrator
4,"Philadelphia Story, The (1940)",1940-01-01,"Comedy,Romance",30,Male,lawyer
1,Leave It to Beaver (1997),1997-08-22,Comedy,19,Male,student
4,"Postino, Il (1994)",1994-01-01,"Drama,Romance",29,Male,doctor
5,Richard III (1995),1996-01-22,"Drama,War",38,Female,administrator
4,"Godfather, The (1972)",1972-01-01,"Action,Crime,Drama",31,Female,librarian
5,"Postino, Il (1994)",1994-01-01,"Drama,Romance",42,Male,executive
3,Diabolique (1996),1996-01-01,"Drama,Thriller",22,Male,executive
5,Forrest Gump (1994),1994-01-01,"Comedy,Romance,War",19,Male,student
1,Renaissance Man (1994),1994-01-01,"Comedy,Drama,War",21,Male,entertainment
4,Tommy Boy (1995),1995-01-01,Comedy,24,Male,student
3,Pete's Dragon (1977),1977-01-01,"Adventure,Animation,Children,Musical",21,Male,student
2,Pink Floyd - The Wall (1982),1982-01-01,"Drama,Musical,War",23,Male,programmer
2,Grumpier Old Men (1995),1995-01-01,"Comedy,Romance",38,Male,administrator
2,Dante's Peak (1997),1997-02-07,"Action,Thriller",55,Male,marketing
4,Waterworld (1995),1995-01-01,"Action,Adventure",47,Male,administrator
4,Mystery Science Theater 3000: The Movie (1996),1996-04-19,"Comedy,Sci-Fi",34,Male,technician
4,Delicatessen (1991),1991-01-01,"Comedy,Sci-Fi",27,Male,student
5,Schindler's List (1993),1993-01-01,"Drama,War",40,Male,programmer
1,Conspiracy Theory (1997),1997-08-08,"Action,Mystery,Romance,Thriller",29,Female,librarian
4,Speed (1994),1994-01-01,"Action,Romance,Thriller",26,Male,other
2,Pollyanna (1960),1960-01-01,"Children,Comedy,Drama",19,Male,student
4,What's Eating Gilbert Grape (1993),1993-01-01,"Comedy,Drama",27,Female,administrator
3,Primal Fear (1996),1996-03-30,"Drama,Thriller",39,Male,marketing
4,"Empire Strikes Back, The (1980)",1980-01-01,"Action,Adventure,Drama,Romance,Sci-Fi,War",32,Male,entertainment
4,"Brady Bunch Movie, The (1995)",1995-01-01,Comedy,24,Male,student
5,Mad City (1997),1997-01-01,"Action,Drama",19,Female,student
3,Real Genius (1985),1985-01-01,Comedy,27,Male,engineer
3,Kolya (1996),1997-01-24,Comedy,31,Male,marketing
3,Evil Dead II (1987),1987-01-01,"Action,Adventure,Comedy,Horror",32,Male,writer
4,"Crow, The (1994)",1994-01-01,"Action,Romance,Thriller",33,Male,programmer
4,Twelve Monkeys (1995),1995-01-01,"Drama,Sci-Fi",29,Male,executive
3,"Silence of the Lambs, The (1991)",1991-01-01,"Drama,Thriller",45,Male,scientist
3,Tie Me Up! Tie Me Down! (1990),1990-01-01,Drama,29,Male,doctor
3,Outbreak (1995),1995-01-01,"Action,Drama,Thriller",38,Male,administrator
3,One Fine Day (1996),1996-11-30,"Drama,Romance",19,Male,student
5,Jerry Maguire (1996),1996-12-13,"Drama,Romance",32,Male,programmer
5,Cape Fear (1991),1991-01-01,Thriller,31,Male,educator
2,Chain Reaction (1996),1996-07-31,"Action,Adventure,Thriller",24,Male,engineer
2,GoldenEye (1995),1995-01-01,"Action,Adventure,Thriller",24,Male,engineer
4,Contact (1997),1997-07-11,"Drama,Sci-Fi",23,Male,student
5,Groundhog Day (1993),1993-01-01,"Comedy,Romance",38,Male,engineer
4,Angels in the Outfield (1994),1994-01-01,"Children,Comedy",40,Male,other
3,U Turn (1997),1997-01-01,"Action,Crime,Mystery",26,Female,librarian
2,"First Wives Club, The (1996)",1996-09-14,Comedy,42,Male,educator
4,"Apostle, The (1997)",1997-12-18,Drama,36,Male,executive
1,"Lawnmower Man, The (1992)",1992-01-01,"Action,Sci-Fi,Thriller",24,Male,engineer
4,Pulp Fiction (1994),1994-01-01,"Crime,Drama",24,Male,student
5,Blade Runner (1982),1982-01-01,"Film-Noir,Sci-Fi",25,Male,student
3,"20,000 Leagues Under the Sea (1954)",1954-01-01,"Adventure,Children,Fantasy,Sci-Fi",60,Male,retired
4,Cliffhanger (1993),1993-01-01,"Action,Adventure,Crime",40,Male,other
2,Mimic (1997),1997-08-22,"Sci-Fi,Thriller",26,Male,executive
4,Gone with the Wind (1939),1939-01-01,"Drama,Romance,War",29,Female,educator
5,"Fish Called Wanda, A (1988)",1988-01-01,Comedy,28,Female,other
4,"Adventures of Priscilla, Queen of the Desert, The (1994)",1994-01-01,"Comedy,Drama",57,Male,administrator
4,"Celluloid Closet, The (1995)",1996-03-15,Documentary,36,Female,writer
1,Love Jones (1997),1997-03-14,Romance,26,Male,executive
1,Unhook the Stars (1996),1996-10-30,Drama,27,Male,writer
4,"Streetcar Named Desire, A (1951)",1951-01-01,Drama,51,Male,educator
3,Clueless (1995),1995-01-01,Comedy,31,Female,librarian
3,Rudy (1993),1993-01-01,Drama,49,Male,educator
4,"Sound of Music, The (1965)",1965-01-01,Musical,27,Male,student
1,Terminator 2: Judgment Day (1991),1991-01-01,"Action,Sci-Fi,Thriller",29,Male,student
5,"Fan, The (1996)",1996-08-16,Thriller,47,Male,executive
5,Seven (Se7en) (1995),1995-01-01,"Crime,Thriller",35,Female,programmer
3,Romy and Michele's High School Reunion (1997),1997-04-25,Comedy,20,Male,none
4,"Silence of the Lambs, The (1991)",1991-01-01,"Drama,Thriller",38,Male,engineer
5,"Great Escape, The (1963)",1963-01-01,"Adventure,War",32,Male,artist
1,Jurassic Park (1993),1993-01-01,"Action,Adventure,Sci-Fi",32,Male,programmer
5,This Is Spinal Tap (1984),1984-01-01,"Comedy,Drama,Musical",37,Male,administrator
3,To Kill a Mockingbird (1962),1962-01-01,Drama,48,Female,artist
5,Star Trek: First Contact (1996),1996-11-22,"Action,Adventure,Sci-Fi",32,Male,programmer
4,"Good, The Bad and The Ugly, The (1966)",1966-01-01,"Action,Western",50,Male,educator
4,Twister (1996),1996-05-10,"Action,Adventure,Thriller",29,Male,programmer
2,Murder at 1600 (1997),1997-04-18,"Mystery,Thriller",42,Male,educator
3,Dumbo (1941),1941-01-01,"Animation,Children,Musical",33,Male,programmer
5,"Fugitive, The (1993)",1993-01-01,"Action,Thriller",24,Male,student
2,Four Rooms (1995),1995-01-01,Thriller,26,Male,executive
1,Kicking and Screaming (1995),1995-01-01,"Comedy,Drama",27,Male,writer
3,Nikita (La Femme Nikita) (1990),1990-01-01,Thriller,47,Male,educator
3,"Grand Day Out, A (1992)",1992-01-01,"Animation,Comedy",24,Male,technician
5,Jerry Maguire (1996),1996-12-13,"Drama,Romance",31,Male,entertainment
4,True Lies (1994),1994-01-01,"Action,Adventure,Comedy,Romance",30,Female,artist
4,"Addiction, The (1995)",1995-01-01,Horror,27,Male,writer
5,Singin' in the Rain (1952),1952-01-01,"Musical,Romance",43,Female,administrator
3,Broken Arrow (1996),1996-02-09,"Action,Thriller",30,Male,administrator
3,Love Jones (1997),1997-03-14,Romance,23,Male,student
3,Waterworld (1995),1995-01-01,"Action,Adventure",24,Male,student
5,"Shawshank Redemption, The (1994)",1994-01-01,Drama,21,Male,entertainment
3,2001: A Space Odyssey (1968),1968-01-01,"Drama,Mystery,Sci-Fi,Thriller",31,Male,administrator
4,One Flew Over the Cuckoo's Nest (1975),1975-01-01,Drama,25,Male,student
5,"Maltese Falcon, The (1941)",1941-01-01,"Film-Noir,Mystery",30,Male,technician
5,"People vs. Larry Flynt, The (1996)",1996-12-27,Drama,43,Female,administrator
2,Ulee's Gold (1997),1997-01-01,Drama,42,Male,educator
3,Cape Fear (1962),1962-01-01,"Film-Noir,Thriller",28,Male,technician
4,"Firm, The (1993)",1993-01-01,"Drama,Thriller",29,Male,programmer
5,Field of Dreams (1989),1989-01-01,Drama,47,Male,educator
5,Singin' in the Rain (1952),1952-01-01,"Musical,Romance",21,Male,entertainment
4,Jaws 2 (1978),1978-01-01,"Action,Horror",18,Female,student
2,Mr. Holland's Opus (1995),1996-01-29,Drama,31,Male,entertainment
5,"Shawshank Redemption, The (1994)",1994-01-01,Drama,26,Male,educator
5,Fly Away Home (1996),1996-09-13,"Adventure,Children",40,Male,programmer
5,"MatchMaker, The (1997)",1997-01-01,"Comedy,Romance",53,Female,healthcare
3,Fled (1996),1996-07-19,"Action,Adventure",15,Male,student
3,Cape Fear (1991),1991-01-01,Thriller,37,Male,librarian
4,Back to the Future (1985),1985-01-01,"Comedy,Sci-Fi",24,Female,marketing
1,Kicked in the Head (1997),1997-01-01,"Comedy,Drama",26,Male,executive
3,"Fish Called Wanda, A (1988)",1988-01-01,Comedy,37,Male,librarian
4,Desperado (1995),1995-01-01,"Action,Romance,Thriller",24,Male,technician
4,Glengarry Glen Ross (1992),1992-01-01,Drama,24,Male,technician
5,Mother (1996),1996-12-25,Comedy,37,Male,librarian
3,"Fan, The (1996)",1996-08-16,Thriller,22,Male,executive
4,Alien: Resurrection (1997),1997-01-01,"Action,Horror,Sci-Fi",26,Male,student
4,"People vs. Larry Flynt, The (1996)",1996-12-27,Drama,24,Female,marketing
2,Dante's Peak (1997),1997-02-07,"Action,Thriller",30,Female,artist
3,Star Trek VI: The Undiscovered Country (1991),1991-01-01,"Action,Adventure,Sci-Fi",24,Male,student
3,Amadeus (1984),1984-01-01,"Drama,Mystery",24,Male,student
1,Afterglow (1997),1997-12-26,"Drama,Romance",30,Male,salesman
3,Alien (1979),1979-01-01,"Action,Horror,Sci-Fi,Thriller",50,Male,programmer
3,Circle of Friends (1995),1995-01-01,"Drama,Romance",29,Male,programmer
3,Duck Soup (1933),1933-01-01,"Comedy,War",37,Male,administrator
4,"Family Thing, A (1996)",1996-03-23,"Comedy,Drama",60,Male,retired
5,Citizen Kane (1941),1941-01-01,Drama,19,Male,student
3,Tomorrow Never Dies (1997),1997-01-01,"Action,Romance,Thriller",53,Male,engineer
